Schema Name,Oracle TABLE, VIEW,TRIGGER,FUNCTION,PROCEDURE,SCHEDULE,Mysql TABLE, VIEW,TRIGGER,FUNCTION,PROCEDURE,SCHEDULE
payment_order,15,0,1,0,0,0,14,0,0,0,0,0
Schema Name,Oracle TABLE, VIEW,TRIGGER,FUNCTION,PROCEDURE,SCHEDULE,Mysql TABLE, VIEW,TRIGGER,FUNCTION,PROCEDURE,SCHEDULE
payment_order,15,0,1,0,0,0,14,0,0,0,0,0
Schema Name,Oracle TABLE, VIEW,TRIGGER,FUNCTION,PROCEDURE,SCHEDULE,Mysql TABLE, VIEW,TRIGGER,FUNCTION,PROCEDURE,SCHEDULE
payment_order,15,0,1,0,0,0,14,0,0,0,0,0
